"orgnr","full_name","short_name","hf_orgnr"
973254979,"REVMATISMESYKEHUSET AS","Revmatismesykehuset Lillehammer",444444
973923811,"HELSE BERGEN HF HABLITERINGSTENESTA FOR VAKSNE","Haukeland",983974724
974116588,"MARTINA HANSENS HOSPITAL SYKEHUSET","Martina Hansens hospital",444444
974116650,"SYKEHUSET INNLANDET HF HABILITERING OG REHABILITERING FURNES","Habiliteringstjenesten i Hedmark",983971709
974116804,"DIAKONHJEMMET SYKEHUS AS","Diakonhjemmet",982791952
974116928,"NKS OLAVIKEN ALDERSPSYKIATRISKE SYKEHUS AS AVD SYKEHUS","N.K.S. Olaviken",333333
974117002,"SYKEHUSET I VESTFOLD HF, SYKELIG OVERVEKT OG HABILITERINGSAV TØNSBERG - SOLVANG","Habilitering Solvang",983975259
974183749,"VOLVAT MEDISINSKE SENTER AS FREDRIKSTAD","Volvat Fredrikstad",999999
974207532,"LOVISENBERG DIAKONALE SYKEHUS","Lovisenberg",965985166
974285959,"FINNMARKSSYKEHUSET HF SOMATIKK - KARASJOK","Karasjok",983974880
974316285,"HARALDSPLASS DIAKONALE SYKEHUS AS","Haraldsplass",984027737
974329506,"ST OLAVS HOSPITAL HF ORKDAL SJUKEHUS","Orkdal",883974832
974504863,"ALERIS SYKEHUS SOLSIDEN","Aleris Solsiden Trondheim",999999
974518821,"ALERIS SYKEHUS NESTTUN","Aleris Bergen",999999
974547031,"UNIVERSITETSSYKEHUSET NORD-NORGE HF BARNE- OG UNGDOMSPSYKIATRISK AVD BUP TROMSØ","Tromsø BUP",983974899
974557169,"HELSE BERGEN HF REHABILITERINGSKLINIKKEN","Haukeland",983974724
974557746,"HELSE BERGEN HF HAUKELAND UNIVERSITETSSJUKEHUS","Haukeland",983974724
974568209,"SYKEHUSET TELEMARK HF HABILTERINGSSEKSJONEN FOR BARN OG UNGE","Skien",983975267
974568225,"SYKEHUSET TELEMARK HF TELEMARK REHABILITERINGSSENTER","Nordagutu",983975267
974575396,"SYKEHUSET I VESTFOLD HF, FYSIKALSK MEDISIN OG REHABILITERING STAVERN - KYSTHOSPITALET","Rehabilitering Kysthospitalet Stavern",983975259
974577054,"HELSE MØRE OG ROMSDAL HF KLINIKK FOR REHABILITERING AURE REHABILITERINGSSENTER","Aure rehabiliteringssenter",997005562
974577216,"HELSE MØRE OG ROMSDAL HF KLINIKK FOR REHABILITERING MORK REHABILITERINGSSENTER","Mork Rehabiliteringssenter",997005562
974588951,"OSLO UNIVERSITETSSYKEHUS HF AKER - SOMATIKK","Aker",993467049
974589087,"OSLO UNIVERSITETSSYKEHUS HF OSLO LEGEVAKT","Oslo legevakt",993467049
974589095,"OSLO UNIVERSITETSSYKEHUS HF ULLEVÅL - SOMATIKK","Ullevål",993467049
974589214,"SUNNAAS SYKEHUS HF NESODDEN","Sunnaas",883971752
974595214,"SØRLANDET SYKEHUS HF SOMATIKK FLEKKEFJORD","Flekkefjord",983975240
974595230,"SØRLANDET SYKEHUS HF REHABILITERING KONGSGÅRD","Kristiansand",983975240
974606305,"VESTRE VIKEN HF HABILITERINGSSENTERET DRAMMEN","Drammen",894166762
974624680,"STAVANGER UNIVERSITETSSJUKEHUS BARNE- OG UNGDOMSHABILITERING HABU STAVANGER","Stavanger",983974678
974631091,"SØRLANDET SYKEHUS HF SOMATIKK ARENDAL","Arendal",983975240
974631326,"VESTRE VIKEN HF DRAMMEN SYKEHUS - SOMATIKK","Drammen",894166762
974631385,"VESTRE VIKEN HF KONGSBERG SYKEHUS - SOMATIKK","Kongsberg",894166762
974631407,"VESTRE VIKEN HF RINGERIKE SYKESHUS - SOMATIKK","Ringerike",894166762
974631768,"SYKEHUSET INNLANDET HF ELVERUM - SOMATIKK","Elverum",983971709
974631776,"AHUS KONGSVINGER SOMATIKK","Kongsvinger",983971636
974632535,"SYKEHUSET INNLANDET HF GJØVIK - SOMATIKK","Gjøvik",983971709
974632543,"SYKEHUSET INNLANDET HF HABILITERING OG REHABILITERING GRANHEIM LUNGESYKEHUS","Granheim",983971709
974633159,"SYKEHUSET TELEMARK HF NOTODDEN - SOMATIKK","Notodden",983975267
974633191,"SYKEHUSET TELEMARK HF SKIEN - SOMATIKK","Skien",983975267
974633221,"SYKEHUSET TELEMARK HF PORSGRUNN - SOMATIKK","Porsgrunn",983975267
974633558,"SYKEHUSET I VESTFOLD HF, SOMATIKK, LARVIK","Larvik",983975259
974633574,"SYKEHUSET I VESTFOLD HF, SOMATIKK, TØNSBERG","Tønsberg",983975259
974633655,"SYKEHUSET ØSTFOLD HF ASKIM - SOMATIKK","Askim",983971768
974633698,"SYKEHUSET ØSTFOLD HF MOSS - SOMATIKK","Moss",983971768
974633752,"SYKEHUSET ØSTFOLD HF KALNES - SOMATIKK","Kalnes",983971768
974703300,"STAVANGER UNIVERSITETSSJUKEHUS SOMATIKK VÅLAND","Stavanger",983974678
974703327,"STAVANGER UNIVERSITETSSJUKEHUS MOTTAKSKLINIKKEN","Egersund",983974678
974703769,"SYKEHUSET ØSTFOLD HF HABILITERINGSTJENESTEN","Sarpsborg",983971768
974705168,"AHUS FOLLO VESTVEIEN VOKSENPSYKIATRI DPS","Follo DPS poliklinikk",983971636
974705192,"AHUS SKI SOMATIKK","Ski",983971636
974705761,"OSLO UNIVERSITETSSYKEHUS HF SPESIALSYKEHUSET FOR EPILEPSI SSE - SOMATIKK","Spesialsykehuset for epilepsi (SSE)",993467049
974705788,"VESTRE VIKEN HF BÆRUM SYKEHUS - SOMATIKK","Bærum",894166762
974706156,"VESTRE VIKEN HF PSYKIATRISK AVDELING BLAKSTAD DØGNAVDELING BLAKSTAD","Blakstad",894166762
974706490,"AHUS NORDBYHAGEN SOMATIKK","Ahus",983971636
974707152,"OSLO UNIVERSITETSSYKEHUS HF RADIUMHOSPITALET - SOMATIKK","Radiumhospitalet",993467049
974724774,"HELSE FONNA HF HAUGESUND SJUKEHUS","Haugesund",983974694
974724960,"SYKEHUSET INNLANDET HF HAMAR - SOMATIKK","Hamar",983971709
974725215,"SYKEHUSET INNLANDET HF TYNSET - SOMATIKK","Tynset",983971709
974726807,"UNIVERSITETSSYKEHUSET NORD-NORGE HF LONGYEARBYEN SYKEHUS","Longyearbyen",983974899
974728230,"OSLO UNIVERSITETSSYKEHUS HF GEILOMO BARNESYKEHUS","Geilomo",993467049
974733013,"SØRLANDET SYKEHUS HF SOMATIKK KRISTIANSAND","Kristiansand",983975240
974737779,"BETANIEN SPESIALISTPOLIKLINIKK DAGKIRURGISK AVDELING","Betanien Bergen",333333
974742985,"HELSE FONNA HF STORD SJUKEHUS","Stord",983974694
974743086,"HELSE FONNA HF ODDA SJUKEHUS","Odda",983974694
974743272,"HELSE BERGEN HF VOSS SJUKEHUS","Voss",983974724
974743914,"HELSE FØRDE HF FLORØ POLIKLINIKK","Florø",983974732
974744570,"HELSE FØRDE HF FØRDE SENTRALSJUKEHUS","Førde",983974732
974745089,"HELSE FØRDE HF LÆRDAL SJUKEHUS","Lærdal",983974732
974745364,"HELSE FØRDE HF NORDFJORD SJUKEHUS","Nordfjord",983974732
974745569,"HELSE MØRE OG ROMSDAL HF MOLDE SJUKEHUS - SOMATIKK","Molde",997005562
974746948,"HELSE MØRE OG ROMSDAL HF KRISTIANSUND SJUKEHUS - SOMATIKK","Kristiansund",997005562
974747138,"HELSE MØRE OG ROMSDAL HF ÅLESUND SJUKEHUS - SOMATIKK","Ålesund",997005562
974747545,"HELSE MØRE OG ROMSDAL HF VOLDA SJUKEHUS - SOMATIKK","Volda",997005562
974749025,"ST OLAVS HOSPITAL HF UNIVERSITETSSYKEHUSET I TRONDHEIM","St. Olav",883974832
974749505,"ST OLAVS HOSPITAL HF RØROS SYKEHUS","Røros",883974832
974749815,"ST OLAVS HOSPITAL HF REHABILITERING OG HABILITERING FYSIKALSK MEDISIN LIAN","St. Olav",883974832
974753898,"HELSE NORD-TRØNDELAG HF SOMATIKK - NAMSOS","Namsos",983974791
974754118,"HELSE NORD-TRØNDELAG HF SOMATIKK - LEVANGER","Levanger",983974791
974754142,"HELSE NORD-TRØNDELAG HF PSYKIATRISK KLINIKK - LEVANGER","Levanger psykiatri",983974791
974795345,"NORDLANDSSYKEHUSET HF VOKSENPSYKIATRI - BODØ","Bodø voksenpsykiatri",983974910
974795361,"NORDLANDSSYKEHUSET HF SOMATIKK - BODØ","Bodø",983974910
974795396,"UNIVERSITETSSYKEHUSET NORD-NORGE HF NARVIK - SOMATIKK","Narvik",983974899
974795477,"HELGELANDSSYKEHUSET HF SANDNESSJØEN - SOMATIKK","Sandnessjøen",983974929
974795485,"HELGELANDSSYKEHUSET HF MOSJØEN SOMATIKK/ADMINISTRASJON","Mosjøen",983974929
974795515,"HELGELANDSSYKEHUSET HF MO I RANA - SOMATIKK","Mo i Rana",983974929
974795558,"NORDLANDSSYKEHUSET HF SOMATIKK - GRAVDAL","Lofoten",983974910
974795574,"NORDLANDSSYKEHUSET HF SOMATIKK - STOKMARKNES","Vesterålen",983974910
974795639,"UNIVERSITETSSYKEHUSET NORD-NORGE HF HARSTAD - SOMATIKK","Harstad",983974899
974795787,"UNIVERSITETSSYKEHUSET NORD-NORGE HF TROMSØ - SOMATIKK","Tromsø",983974899
974795833,"FINNMARKSSYKEHUSET HF HAMMERFEST SYKEHUS","Hammerfest",983974880
974795930,"FINNMARKSSYKEHUSET HF KIRKENES SYKEHUS","Kirkenes",983974880
974798379,"SYKEHUSET TELEMARK HF RJUKAN - SOMATIKK","Rjukan",983975267
974917459,"Norsk Diabetessenter for behandling og opplæring","Norsk Diabetessenter",999999
975296008,"NORDLANDSSYKEHUSET HF BUP AVDELING BODØ","Bodø BUP",983974910
975298744,"OSLO UNIVERSITETSSYKEHUS HF OLAFIAKLINIKKEN","Olafiaklinikken",993467049
975326136,"SYKEHUSET INNLANDET HF HABILITERING OG REHABILITERING HABILITERINGSTJENESTEN I OPPLAND","Lillehammer",983971709
975326551,"HELGELANDSSYKEHUSET HF MOSJØEN VOKSENPSYKIATRI","Mosjøen voksenpsykiatri",983974929
975787419,"ALERIS SYKEHUS FROGNER","Aleris Frogner",999999
975898482,"Paul William Hansen","Ishavsklinikken",888888
976140176,"HELIX AS","Dr. Gjellan",888888
976248570,"HELSE FONNA HF HAUGESUND SJUKEHUS REHABILITERING","Haugesund",983974694
976343506,"VOLVAT MEDISINSKE SENTER AS BERGEN - LAGUNEN","Volvat Lagunen",999999
977019524,"Nicolai Ahm Nicklasson","Asker ØNH",888888
977208734,"PRIVATSYKEHUSET HAUGESUND AS","Privatsykehuset Haugesund",999999
977212901,"PRIVATSYKEHUSET HAUGESUND AS","Privatsykehuset Haugesund",999999
979819706,"ALERIS MEDISINSKE SENTER STRØMMEN","Aleris Strømmen",999999
979873190,"FINNMARKSSYKEHUSET HF SOMATIKK ALTA","Alta",983974880
980347842,"UROLOGISK KLINIKK AS","Urologisk klinikk AS",999999
980524493,"CAPIO ANOREKSI SENTER AS","Capio",999999
981096363,"ALERIS SYKEHUS AGDER","Aleris Agder",999999
981406826,"Stein Helge Glad Nordahl, FANA ØRE-NESE-HALS AS, Privathospitalet Fana Medisinske Senter AS","Dr. Glad Nordahl",888888
981541499,"ALERIS SYKEHUS COLLOSSEUM NOBEL","Aleris Colosseum Nobel",999999
982580099,"Øivind Grytli Holden","Dr. Grytli Holden",888888
982755999,"VOLVAT MEDISINSKE SENTER NORD OG MIDT-NORGE AS AVD STOKKAN","Volvat Stokkan",999999
983084478,"VOLVAT MEDISINSKE SENTER NORD OG MIIDT-NORGE AS AVD TROMSØ","Volvat Tromsø",999999
983896383,"ALERIS STAVANGER","Aleris Stavanger",999999
983971652,"AKER UNIVERSITETSSYKEHUS HF, utgått 29.12.2009","Aker",993467049
983974155,"SYKEHUSET TELEMARK HF KRAGERØ - SOMATIKK","Kragerø",983975267
984038135,"HELSE MØRE OG ROMSDAL HF SEKSJON VAKSENHABILITERING MOLDE","Molde",997005562
984075340,"AHUS FOLLO VESTVEIEN VOKSENPSYKIATRI DPS 2","Follo DPS døgn",983971636
987322195,"CAPIO ANOREKSI SENTER AS FREDRIKSTAD","Capio Fredrikstad",999999
987547243,"OSLO UNIVERSITETSSYKEHUS HF REGIONAL AVD FOR SPISEFORSTYRRELSER RASP","OUS spiseforstyrrelser",993467049
987809183,"SANDVIKA REUMATOLOGI PRAKSIS Bente Minet","Dr. Minet",888888
988358525,"SPESIALISTSENTERET AS","Spesialistsenteret AS",999999
988931578,"Nydalen Øre Nese Hals AS","Nydalen Øre Nese Hals AS",999999
989029363,"Ketil W. Skjøstad, Trondheim","Dr. Skjøstad",888888
989588966,"Birger Kristiansen Øre-Nese-Hals AS","Dr. Kristiansen",888888
990012008,"Lege Harald Miljeteig AS","Dr. Miljeteig",888888
990231516,"Liv Elisabeth Kjusted","Dr. Kjusted",888888
990240116,"VOLVAT MEDISINSKE SENTER AS BERGEN - ULRIKSDAL","Volvat Ulriksdalen",999999
991835083,"OSLOFJORDKLINIKKEN AS","Oslofjordklinikken Sandvika",999999
991992677,"HELSE BERGEN HF PSYKIATRISK DIVISJON KLINIKK FOR PSYKOSOMATISK MEDISIN","Helse Bergen psykiatri",983974724
992363134,"OSLO REVMATOLOGIPRAKSIS CYBELE KRISTO","Dr. Kristo",888888
993061107,"BEST HELSE AS","Best Helse AS",999999
993198846,"STIFTELSEN BARNAS FYSIOTERAPISENTER","Barnas fysioterapisenter",999999
993240184,"ALERIS SYKEHUS TROMSØ","Aleris Tromsø",999999
993253375,"N.K.S. KLØVERÅSEN AS","N.K.S. Kløveråsen",111111
993562718,"NORDLANDSSYKEHUSET HF HABILITERING/REHAB - BODØ","Bodø",983974910
993573159,"NORDLANDSSYKEHUSET HF HABILITERING/REHAB - GRAVDAL","Lofoten",983974910
993955353,"OVERNKLINIKKEN AS","Overnklinikken AS",999999
994679627,"IDRETTENS HELSESENTER AS","Idrettens helsesenter",999999
994869736,"SUNNAAS SYKEHUS HF AKER POLKLINIKK","Sunnaas",883971752
994958682,"HELSE NORD-TRØNDELAG HF SYKEHUSET LEVANGER - REHABILITERING","Levanger",983974791
994974270,"HELSE NORD-TRØNDELAG HF SYKEHUSET NAMSOS - REHABILITERING","Namsos",983974791
995111209,"LHL-KLINIKKENE BERGEN","LHL Bergen",999999
995413388,"ST OLAVS HOSPITAL HF REHABILITERING OG HABILITERING HYSNES HELSEFORT","Hysnes helsefort",883974832
995818728,"ALERIS SYKEHUS BODØ","Aleris Bodø",999999
996328112,"HELSE FONNA HF STORD SJUKEHUS REHABILITERING","Stord",983974694
996663191,"HELSE BERGEN HF RADIOLOGISK AVDELING RADIOLOGI HAUKELAND","Haukeland",983974724
996722201,"NORDLANDSSYKEHUSET HF VESTERÅLEN DPS HABILITERING/REHAB - STOKMARKNES","Vesterålen",983974910
996891216,"SØRLANDET SYKEHUS HF REHABILITERING ARENDAL","Arendal",983975240
997512189,"HELSE BERGEN HF SEKSJON FOR BEHANDLINGSHJELPEMIDLER MEDISINSK-TEKNISK AVD HAUKELAND","Haukeland",983974724
998158923,"OSLO UNIVERSITETSSYKEHUS HF VOKSENPSYKRIATI GAUSTAD POLIKLINIKK","Gaustad voksenpsykiatri",993467049
998273293,"OSLO UNIVERSITETSSYKEHUS HF ULLEVÅL - REHABILITERING","Ullevål",993467049
998542537,"REVMA VESTFOLD AS","Revma Vestfold",888888
998562708,"MEDI 3 AS AVD ÅLESUND","Medi 3 Ålesund",999999
998564131,"MEDI 3 AS AVD ULSTEINSVIK","Medi 3 Ulsteinsvik",999999
999238351,"NIMI AS","NIMI",999999
999545157,"KANALSPESIALISTENE AS","Kanalspesialistene Bergen",999999
